Gene;Gene name;Tissue;TPM
ENSG00000003400;CASP10;kidney;5.5
ENSG00000003400;CASP10;liver;3.1
ENSG00000003400;CASP10;lung;15.8
ENSG00000003400;CASP10;lymph node;10.0
ENSG00000003400;CASP10;monocytes;15.4
ENSG00000003400;CASP10;NK-cells;9.0
ENSG00000003400;CASP10;ovary;1.1
ENSG00000003400;CASP10;pancreas;0.6
ENSG00000003400;CASP10;parathyroid gland;2.7
ENSG00000003400;CASP10;placenta;13.7
ENSG00000003400;CASP10;prostate;2.9
ENSG00000003400;CASP10;rectum;14.8
ENSG00000003400;CASP10;salivary gland;1.4
ENSG00000003400;CASP10;seminal vesicle;4.2
ENSG00000003400;CASP10;skeletal muscle;1.6
ENSG00000003400;CASP10;skin;6.7
ENSG00000003400;CASP10;small intestine;20.6
ENSG00000003400;CASP10;smooth muscle;7.5
ENSG00000003400;CASP10;spleen;24.1
ENSG00000003400;CASP10;stomach;9.7
ENSG00000003400;CASP10;T-cells;7.1
ENSG00000003400;CASP10;testis;2.2
ENSG00000003400;CASP10;thyroid gland;7.9
ENSG00000003400;CASP10;tonsil;9.7
ENSG00000003400;CASP10;urinary bladder;13.0
ENSG00000003402;CFLAR;adipose tissue;133.3
ENSG00000003402;CFLAR;adrenal gland;64.2
ENSG00000003402;CFLAR;appendix;140.1
ENSG00000003402;CFLAR;B-cells;17.7
ENSG00000003402;CFLAR;bone marrow;159.6
ENSG00000003402;CFLAR;breast;62.2
ENSG00000003402;CFLAR;cerebral cortex;29.4
ENSG00000003402;CFLAR;cervix, uterine;52.7
ENSG00000003402;CFLAR;colon;53.5
ENSG00000003402;CFLAR;dendritic cells;28.9
ENSG00000003402;CFLAR;duodenum;58.9
ENSG00000003402;CFLAR;endometrium;92.6
ENSG00000003402;CFLAR;epididymis;73.4
ENSG00000003402;CFLAR;esophagus;74.7
ENSG00000003402;CFLAR;fallopian tube;63.0
ENSG00000003402;CFLAR;gallbladder;113.4
ENSG00000003402;CFLAR;granulocytes;255.3
ENSG00000003402;CFLAR;heart muscle;81.8
ENSG00000003402;CFLAR;kidney;58.9
ENSG00000003402;CFLAR;liver;30.5
ENSG00000003402;CFLAR;lung;136.6
ENSG00000003402;CFLAR;lymph node;104.2
ENSG00000003402;CFLAR;monocytes;55.8
ENSG00000003402;CFLAR;NK-cells;48.9
ENSG00000003402;CFLAR;ovary;34.2
ENSG00000003402;CFLAR;pancreas;8.5
