Gene;Gene name;Tissue;TPM
ENSG00000003989;SLC7A2;spinal cord;3.3
ENSG00000003989;SLC7A2;spleen;3.6
ENSG00000003989;SLC7A2;stomach;5.5
ENSG00000003989;SLC7A2;testis;11.4
ENSG00000003989;SLC7A2;thyroid gland;19.6
ENSG00000003989;SLC7A2;urinary bladder;8.4
ENSG00000003989;SLC7A2;vagina;16.1
ENSG00000004139;SARM1;adipose tissue;0.2
ENSG00000004139;SARM1;adrenal gland;1.4
ENSG00000004139;SARM1;amygdala;0.1
ENSG00000004139;SARM1;basal ganglia;0.3
ENSG00000004139;SARM1;breast;0.2
ENSG00000004139;SARM1;cerebellum;1.0
ENSG00000004139;SARM1;cerebral cortex;0.3
ENSG00000004139;SARM1;cervix, uterine;0.0
ENSG00000004139;SARM1;colon;0.2
ENSG00000004139;SARM1;endometrium;0.5
ENSG00000004139;SARM1;esophagus;0.1
ENSG00000004139;SARM1;fallopian tube;0.6
ENSG00000004139;SARM1;heart muscle;0.1
ENSG00000004139;SARM1;hippocampal formation;0.1
ENSG00000004139;SARM1;hypothalamus;0.2
ENSG00000004139;SARM1;kidney;0.2
ENSG00000004139;SARM1;liver;0.3
ENSG00000004139;SARM1;lung;0.3
ENSG00000004139;SARM1;midbrain;0.2
ENSG00000004139;SARM1;ovary;0.5
ENSG00000004139;SARM1;pancreas;0.2
ENSG00000004139;SARM1;pituitary gland;1.4
ENSG00000004139;SARM1;prostate;0.3
ENSG00000004139;SARM1;salivary gland;0.3
ENSG00000004139;SARM1;skeletal muscle;0.1
ENSG00000004139;SARM1;skin;0.1
ENSG00000004139;SARM1;small intestine;0.3
ENSG00000004139;SARM1;spinal cord;0.3
ENSG00000004139;SARM1;spleen;0.6
ENSG00000004139;SARM1;stomach;0.1
ENSG00000004139;SARM1;testis;0.2
ENSG00000004139;SARM1;thyroid gland;0.3
ENSG00000004139;SARM1;urinary bladder;0.3
ENSG00000004139;SARM1;vagina;0.2
ENSG00000004468;CD38;adipose tissue;3.4
ENSG00000004468;CD38;adrenal gland;2.1
ENSG00000004468;CD38;amygdala;1.6
ENSG00000004468;CD38;basal ganglia;4.2
ENSG00000004468;CD38;breast;2.0
ENSG00000004468;CD38;cerebellum;0.4
ENSG00000004468;CD38;cerebral cortex;1.7
ENSG00000004468;CD38;cervix, uterine;0.9
ENSG00000004468;CD38;colon;1.4
ENSG00000004468;CD38;endometrium;0.4
ENSG00000004468;CD38;esophagus;0.9
ENSG00000004468;CD38;fallopian tube;2.2
ENSG00000004468;CD38;heart muscle;2.2
ENSG00000004468;CD38;hippocampal formation;1.8
ENSG00000004468;CD38;hypothalamus;2.3
ENSG00000004468;CD38;kidney;0.5
ENSG00000004468;CD38;liver;1.1
ENSG00000004468;CD38;lung;4.1
ENSG00000004468;CD38;midbrain;2.3
ENSG00000004468;CD38;ovary;0.2
ENSG00000004468;CD38;pancreas;0.1
ENSG00000004468;CD38;pituitary gland;2.0
ENSG00000004468;CD38;prostate;4.6
ENSG00000004468;CD38;salivary gland;1.4
ENSG00000004468;CD38;skeletal muscle;2.4
ENSG00000004468;CD38;skin;0.2
ENSG00000004468;CD38;small intestine;4.8
ENSG00000004468;CD38;spinal cord;1.0
ENSG00000004468;CD38;spleen;16.0
ENSG00000004468;CD38;stomach;0.7
ENSG00000004468;CD38;testis;0.5
ENSG00000004468;CD38;thyroid gland;2.4
ENSG00000004468;CD38;urinary bladder;0.9
ENSG00000004468;CD38;vagina;0.6
ENSG00000004777;ARHGAP33;adipose tissue;7.4
ENSG00000004777;ARHGAP33;adrenal gland;6.8
ENSG00000004777;ARHGAP33;amygdala;20.7
ENSG00000004777;ARHGAP33;basal ganglia;30.3
ENSG00000004777;ARHGAP33;breast;11.2
ENSG00000004777;ARHGAP33;cerebellum;43.1
ENSG00000004777;ARHGAP33;cerebral cortex;35.8
ENSG00000004777;ARHGAP33;cervix, uterine;21.5
ENSG00000004777;ARHGAP33;colon;10.5
ENSG00000004777;ARHGAP33;endometrium;16.4
ENSG00000004777;ARHGAP33;esophagus;6.4
ENSG00000004777;ARHGAP33;fallopian tube;20.1
ENSG00000004777;ARHGAP33;heart muscle;3.5
ENSG00000004777;ARHGAP33;hippocampal formation;19.7
ENSG00000004777;ARHGAP33;hypothalamus;21.4
ENSG00000004777;ARHGAP33;kidney;7.4
ENSG00000004777;ARHGAP33;liver;2.2
ENSG00000004777;ARHGAP33;lung;7.3
ENSG00000004777;ARHGAP33;midbrain;15.8
ENSG00000004777;ARHGAP33;ovary;26.6
ENSG00000004777;ARHGAP33;pancreas;4.5
ENSG00000004777;ARHGAP33;pituitary gland;36.0
ENSG00000004777;ARHGAP33;prostate;12.7
ENSG00000004777;ARHGAP33;salivary gland;6.3
ENSG00000004777;ARHGAP33;skeletal muscle;1.5
ENSG00000004777;ARHGAP33;skin;8.6
ENSG00000004777;ARHGAP33;small intestine;8.3
ENSG00000004777;ARHGAP33;spinal cord;29.1
ENSG00000004777;ARHGAP33;spleen;10.5
ENSG00000004777;ARHGAP33;stomach;7.1
ENSG00000004777;ARHGAP33;testis;51.4
ENSG00000004777;ARHGAP33;thyroid gland;20.6
ENSG00000004777;ARHGAP33;urinary bladder;9.5
ENSG00000004777;ARHGAP33;vagina;15.1
ENSG00000004809;SLC22A16;adipose tissue;0.2
ENSG00000004809;SLC22A16;adrenal gland;0.0
ENSG00000004809;SLC22A16;amygdala;0.0
ENSG00000004809;SLC22A16;basal ganglia;0.0
ENSG00000004809;SLC22A16;breast;0.1
ENSG00000004809;SLC22A16;cerebellum;0.0
ENSG00000004809;SLC22A16;cerebral cortex;0.0
ENSG00000004809;SLC22A16;cervix, uterine;0.0
ENSG00000004809;SLC22A16;colon;0.0
ENSG00000004809;SLC22A16;endometrium;1.1
ENSG00000004809;SLC22A16;esophagus;0.0
ENSG00000004809;SLC22A16;fallopian tube;0.2
ENSG00000004809;SLC22A16;heart muscle;0.0
ENSG00000004809;SLC22A16;hippocampal formation;0.0
